"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53005","0115.01","1","Benton WA",9.9513,0.0001 
"53005","0115.01","2","Benton WA",3.1789,0 
"53005","0115.01","3","Benton WA",2.0665,0 
"53005","0115.01","4","Benton WA",3.5379,0.0001 
"53005","0115.01","5","Benton WA",1.692,0 
"53005","0115.03","1","Benton WA",30.209,0.0005 
"53005","0115.03","2","Benton WA",0.4906,0 
"53005","0115.03","3","Benton WA",0.4272,0 
"53005","0115.03","4","Benton WA",0.4974,0 
"53005","0115.03","5","Benton WA",0.3795,0 
"53005","0115.03","6","Benton WA",0.7011,0 
"53005","0115.04","1","Benton WA",3.2097,0 
"53005","0115.04","2","Benton WA",1.9093,0 
"53005","0116.00","1","Benton WA",456.4411,0.0069 
"53005","0116.00","2","Benton WA",140.9155,0.0021 
"53005","0117.00","1","Benton WA",5.4125,0.0001 
"53005","0117.00","2","Benton WA",3.7836,0.0001 
"53005","0117.00","3","Benton WA",0.2061,0 
"53005","0117.00","4","Benton WA",1.7938,0 
"53005","0117.00","5","Benton WA",2.3712,0 
"53005","0118.00","1","Benton WA",159.5443,0.0024 
"53005","0118.00","2","Benton WA",22.8227,0.0003 
"53005","0118.00","3","Benton WA",19.2372,0.0003 
"53005","0118.00","4","Benton WA",136.8877,0.0021 
"53005","0119.00","1","Benton WA",1.9554,0 
"53005","0119.00","2","Benton WA",0.8224,0 
"53005","0119.00","3","Benton WA",1.4214,0 
"53005","0119.00","4","Benton WA",59.5605,0.0009 
"53005","0120.00","1","Benton WA",440.4633,0.0066 
"53007","9601.00","1","Chelan WA",16.8259,0.0003 
"53007","9601.00","2","Chelan WA",1160.4431,0.0175 
"53007","9602.00","1","Chelan WA",711.4378,0.0107 
"53007","9602.00","2","Chelan WA",140.5195,0.0021 
"53007","9602.00","3","Chelan WA",114.289,0.0017 
"53007","9602.00","4","Chelan WA",16.3668,0.0002 
"53007","9603.00","1","Chelan WA",89.4819,0.0013 
"53007","9603.00","2","Chelan WA",2.2006,0 
"53007","9603.00","3","Chelan WA",26.4365,0.0004 
"53007","9603.00","4","Chelan WA",0.6278,0 
"53007","9603.00","5","Chelan WA",0.8239,0 
"53007","9603.00","6","Chelan WA",1.5271,0 
"53007","9603.00","7","Chelan WA",54.3316,0.0008 
"53007","9604.00","1","Chelan WA",39.2255,0.0006 
"53007","9604.00","2","Chelan WA",10.0753,0.0002 
"53007","9604.00","3","Chelan WA",3.5762,0.0001 
"53007","9605.00","1","Chelan WA",19.1438,0.0003 
"53007","9605.00","2","Chelan WA",27.8984,0.0004 
"53007","9605.00","3","Chelan WA",31.157,0.0005 
"53007","9605.00","4","Chelan WA",97.7861,0.0015 
"53007","9605.00","5","Chelan WA",124.7449,0.0019 
"53007","9605.00","6","Chelan WA",20.1801,0.0003 
"53007","9606.00","1","Chelan WA",0.2217,0 
"53007","9606.00","2","Chelan WA",2.3319,0 
"53007","9606.00","3","Chelan WA",0.9411,0 
"53007","9607.00","1","Chelan WA",50.7581,0.0008 
"53007","9607.00","2","Chelan WA",2.1593,0 
"53007","9608.01","1","Chelan WA",9.6617,0.0001 
"53007","9608.02","1","Chelan WA",1.048,0 
"53007","9608.02","2","Chelan WA",0.2059,0 
"53007","9608.02","3","Chelan WA",0.9413,0 
"53007","9608.02","4","Chelan WA",0.3774,0 
"53007","9608.02","5","Chelan WA",0.1164,0 
"53007","9610.00","1","Chelan WA",0.4043,0 
"53007","9610.00","2","Chelan WA",0.0774,0 
"53007","9610.00","3","Chelan WA",0.0778,0 
