GEOID,spatialmismatch,total,english_only,english_verywell,english_well,english_notwell,english_notatall,english_better,english_worse
530330323271,0.12650926411151886,3333,0.8841884188418841,0.0858085808580858,0.026702670267026704,0.0033003300330033004,0,0.9966996699669967,0.0033003300330033004
530330326023,0.17671270668506622,4979,0.8503715605543282,0.1287407109861418,0.020887728459530026,0,0,1,0
530330326024,0.14023980498313904,3255,0.8374807987711214,0.15084485407066053,0.011674347158218126,0,0,1,0
530330115003,0.088583804666996,1259,0.8411437648927721,0.1278792692613185,0.018268467037331215,0.004765687053216839,0.007942811755361398,0.9872915011914217,0.012708498808578236
530330026002,0.01589537784457206,1429,0.8845346396081175,0.10776766969909027,0.006997900629811057,6.997900629811056e-4,0,0.9993002099370188,6.997900629811056e-4
530330090002,0.05691800266504288,1775,0.5633802816901409,0.12394366197183099,0.09014084507042254,0.12225352112676056,0.10028169014084506,0.7774647887323943,0.22253521126760564
530330102004,0.0592266283929348,1153,0.8568950563746748,0.12142237640936687,0.014744145706851692,0,0.006938421509106678,0.9930615784908933,0.006938421509106678
530330249012,0.04403814673423767,1644,0.7177615571776156,0.1843065693430657,0.03223844282238443,0.049878345498783457,0.015815085158150853,0.9343065693430657,0.06569343065693431
530330255003,0.07472053915262222,1397,0.47816750178954903,0.24337866857551896,0.12025769506084466,0.12670007158196134,0.031496062992125984,0.8418038654259127,0.15819613457408732
530330292061,0.03826604783535004,310,0.44193548387096776,0.22903225806451613,0.17096774193548386,0.12903225806451613,0.02903225806451613,0.8419354838709677,0.15806451612903225
530330318002,0.09854357689619064,1294,0.9358578052550232,0.0571870170015456,0,0.0015455950540958269,0.005409582689335394,0.9930448222565688,0.006955177743431221
530330320021,0.10109080374240877,1658,0.9433051869722557,0.04221954161640531,0,0.014475271411338963,0,0.985524728588661,0.014475271411338963
530330303131,0.0982879400253296,1108,0.6570397111913358,0.1832129963898917,0.1272563176895307,0.032490974729241874,0,0.9675090252707581,0.032490974729241874
530330316012,0.09580936282873154,1794,0.8957636566332219,0.08528428093645485,0.010033444816053512,0.008918617614269788,0,0.9910813823857302,0.008918617614269788
530330315022,0.08088576793670654,1065,0.9023474178403755,0.027230046948356807,0.03286384976525822,0.020657276995305163,0.016901408450704224,0.9624413145539906,0.03755868544600939
530330321042,0.11601731181144714,2040,0.6421568627450981,0.1411764705882353,0.045098039215686274,0.125,0.04656862745098039,0.8284313725490197,0.1715686274509804
530330323151,0.1078120693564415,1688,0.8364928909952607,0.11611374407582939,0.0254739336492891,0.021919431279620854,0,0.9780805687203792,0.021919431279620854
530330043022,0.08707572519779205,1668,0.5335731414868106,0.18525179856115107,0.2302158273381295,0.03717026378896882,0.013788968824940047,0.9490407673860911,0.050959232613908875
530330209002,0.05790253356099129,725,0.8468965517241379,0.08827586206896551,0.05241379310344828,0.012413793103448275,0,0.9875862068965517,0.012413793103448275
530330214001,0.04934597760438919,860,0.8639534883720931,0.07906976744186046,0.037209302325581395,0.019767441860465116,0,0.9802325581395349,0.019767441860465116
530330214002,0.093817301094532,1590,0.8679245283018868,0.08679245283018867,0.030817610062893082,0.014465408805031447,0,0.9855345911949686,0.014465408805031447
530330214003,0.06358960270881653,1331,0.9113448534936138,0.08865514650638617,0,0,0,1,0
530330215001,0.04521404206752777,1175,0.8825531914893617,0.08085106382978724,0.03659574468085106,0,0,1,0
530330215002,0.06669764220714569,1066,0.924953095684803,0.0647279549718574,0.010318949343339587,0,0,1,0
530330204013,0.03420538082718849,836,0.6555023923444976,0.26555023923444976,0.0645933014354067,0.014354066985645933,0,0.9856459330143541,0.014354066985645933
530330204012,0.034356739372015,1032,0.7664728682170543,0.19089147286821706,0.029069767441860465,0.013565891472868217,0,0.9864341085271318,0.013565891472868217
530330204021,0.0734785869717598,1206,0.7620232172470979,0.16003316749585406,0.0406301824212272,0.03731343283582089,0,0.9626865671641791,0.03731343283582089
530330204022,0.04321445152163505,1052,0.970532319391635,0.029467680608365018,0,0,0,1,0
530330204023,0.04582314193248749,818,0.5317848410757946,0.43276283618581907,0.035452322738386305,0,0,1,0
530330204024,0.05189678072929382,954,0.9821802935010482,0.01781970649895178,0,0,0,1,0
530330204025,0.05972174927592277,1247,0.5966319165998396,0.26222935044105855,0.05934242181234964,0.07056936647955092,0.011226944667201283,0.9182036888532478,0.0817963111467522
530330268023,0.12868276238441467,1757,0.4433693796243597,0.2487194080819579,0.21400113830392714,0.0887877063175868,0.005122367672168469,0.9060899260102447,0.09391007398975526
530330322101,0.07440227270126343,1702,0.9388954171562868,0.0481786133960047,0.011163337250293772,5.875440658049354e-4,0.0011750881316098707,0.9982373678025852,0.0017626321974148062
530330205003,0.05683314055204391,1002,0.7295409181636726,0.18463073852295409,0.06387225548902195,0.010978043912175649,0.010978043912175649,0.9780439121756487,0.021956087824351298
530330205005,0.03181413188576698,1248,0.625801282051282,0.1778846153846154,0.13221153846153846,0.05448717948717949,0.009615384615384616,0.9358974358974359,0.0641025641025641
530330205002,0.0529169924557209,784,0.7283163265306123,0.1875,0.08418367346938775,0,0,1,0
530330205001,0.0879686027765274,1732,0.7361431870669746,0.08545034642032333,0.06928406466512702,0.044457274826789836,0.06466512702078522,0.890877598152425,0.10912240184757506
530330206001,0.02910982444882393,943,0.6702014846235419,0.2046659597030753,0.0911983032873807,0.02332979851537646,0.010604453870625663,0.9660657476139979,0.033934252386002124
530330328002,0.07417608797550201,1267,0.9392265193370166,0.05130228887134965,0,0.009471191791633781,0,0.9905288082083662,0.009471191791633781
530330279006,0.11753986775875092,1631,0.7394236664622931,0.09687308399754752,0.019619865113427344,0.07234825260576333,0.07173513182096873,0.8559166155732679,0.14408338442673208
530330210004,0.04893893375992775,1059,0.8621340887629839,0.015108593012275733,0.07743153918791312,0.0453257790368272,0,0.9546742209631728,0.0453257790368272
530330207001,0.05318741127848625,1254,0.594896331738437,0.18580542264752792,0.06539074960127592,0.15390749601275916,0,0.8460925039872408,0.15390749601275916
530330241004,0.01021844800561666,1200,0.7783333333333333,0.18583333333333332,0.015833333333333335,0.02,0,0.98,0.02
530330086002,0.1438567340373993,2624,0.8025914634146342,0.15358231707317074,0.04382621951219512,0,0,1,0
530330327023,0.06123746559023857,1161,0.970714900947459,0.012058570198105082,0.017226528854435832,0,0,1,0
530330261005,0.03458743542432785,1235,0.4647773279352227,0.25587044534412956,0.12793522267206478,0.1417004048582996,0.009716599190283401,0.848582995951417,0.151417004048583
530330313023,0.08049357682466507,1403,0.8888096935138988,0.0691375623663578,0.042052744119743406,0,0,1,0
530330327041,0.12937763333320618,2350,0.9787234042553191,0.02127659574468085,0,0,0,1,0
530330249031,0.07447236776351929,1848,0.43452380952380953,0.37337662337662336,0.11147186147186147,0.07196969696969698,0.008658008658008658,0.9193722943722944,0.08062770562770563
530330219053,0.065228171646595,1840,0.5375,0.23206521739130434,0.08641304347826087,0.12065217391304348,0.023369565217391305,0.8559782608695652,0.14402173913043478
530330041002,0.07582969963550568,1975,0.8769620253164557,0.06835443037974684,0,0.0410126582278481,0.013670886075949367,0.9453164556962025,0.05468354430379747
530330118003,0.05963215604424476,1063,0.66039510818438385,0.1495766698024459,0.14016933207902163,0.03857008466603951,0.011288805268109126,0.9501411100658513,0.04985888993414864
530330052001,0.03762919828295708,1257,0.7350835322195705,0.2020684168655529,0.050119331742243436,0.012728719172633254,0,0.9872712808273667,0.012728719172633254
530330232011,0.04240208119153976,1317,0.5261958997722096,0.22475322703113135,0.21336370539104024,0.023538344722854973,0.012148823082763858,0.9643128321943811,0.03568716780561883
530330247011,0.00287580979056656,1059,0.7101038715769594,0.17658168083097261,0.049102927289896126,0.05476864966949953,0.009442870632672332,0.9357884796978282,0.06421152030217187
530330290014,0.08349845558404922,1874,0.8356456776947705,0.08431163287086446,0.044823906083244394,0.035218783351120594,0,0.9647812166488794,0.035218783351120594
530330277014,0.06397072225809097,1303,0.896392939370683,0.024558710667689946,0.012279355333844973,0.06676899462778205,0,0.9332310053722179,0.06676899462778205
530330070001,0.03277906402945518,1061,0.8671065032987747,0.10838831291234684,0.024505183788878417,0,0,1,0
530330021002,0.0284284446388483,1072,0.855410447761194,0.09888059701492537,0.03171641791044776,0,0.013992537313432836,0.9860074626865671,0.013992537313432836
530330266002,0.08213942497968674,1322,0.7965204236006052,0.16414523449319213,0.015128593040847202,0.024205748865355523,0,0.9757942511346445,0.024205748865355523
530330098004,0.07034161686897278,1802,0.9611542730299667,0.038845726970033294,0,0,0,1,0
530619400023,0.078176349401474,781,0.9833546734955185,0.016645326504481434,0,0,0,1,0
530330074023,0.0781497061252594,1828,0.7040481400437637,0.2587527352297593,0.027899343544857767,0.009299781181619256,0,0.9907002188183808,0.009299781181619256
530330323153,0.08740095794200897,1785,0.8621848739495799,0.13165266106442577,0,0.0061624649859943975,0,0.9938375350140056,0.0061624649859943975
530330119004,0.08140601962804794,1861,0.6260075228371843,0.2063406770553466,0.056958624395486296,0.08382590005373455,0.026867275658248254,0.8893068242880172,0.11069317571198281
530330236031,0.05480747669935226,1264,0.6740506329113924,0.24367088607594936,0.05617088607594937,0.02610759493670886,0,0.9738924050632911,0.02610759493670886
530330306003,0.06238722801208496,1473,0.6028513238289206,0.24507807196198234,0,0.14120841819416158,0.010862186014935505,0.8479293957909029,0.15207060420909707
530330286001,0.04530664905905723,1095,0.9863013698630136,0,0.0136986301369863,0,0,1,0
530330323211,0.052717175334692,1087,0.874885004599816,0.09199632014719411,0.025758969641214352,0.007359705611775529,0,0.9926402943882244,0.007359705611775529
530330327022,0.06380148231983185,1351,0.9681717246484086,0.03182827535159141,0,0,0,1,0
530330293042,0.06805796921253204,1338,0.6696562032884903,0.1898355754857997,0.07772795216741404,0.05904334828101644,0.0037369207772795215,0.9372197309417041,0.06278026905829596
530330316052,0.09662211686372756,1605,0.8404984423676013,0.12897196261682242,0.030529595015576325,0,0,1,0
530330053014,0.04433922842144966,1286,0.24261275272161742,0.4751166407465008,0.2379471228615863,0.04432348367029549,0,0.9556765163297045,0.04432348367029549
